Real Madrid, La Liga (Spagna)
Bayern Munchen, Bundesliga (Germania)
Inter, Serie A (Italia)
Liverpool, Premier League (Inghilterra)
Manchester City, Premier League (Inghilterra)
Atletico Madrid, La Liga (Spagna)
Al Hilal, Saudi Pro League (Arabia Saudita)
Manchester United, Premier League (Inghilterra)
Athletic Club, La Liga (Spagna)
AC Milan, Serie A (Italia)
Inter Miami, MLS (Stati Uniti)
Newcastle United, Premier League (Inghilterra)
PSG, Ligue 1 (Francia)
Borussia Dortmund, Bundesliga (Germania)
Arsenal, Premier League (Inghilterra)
FC Barcelona, La Liga (Spagna)
Napoli, Serie A (Italia)
Juventus, Serie A (Italia)
Bayer 04 Leverkusen, Bundesliga (Germania)
Chelsea, Premier League (Inghilterra)
Fenerbahce SK, Super Lig (Turchia)
Galatasaray SK, Super Lig (Turchia)
Tottenham Hotspur, Premier League (Inghilterra)
Al Qadsiah FC, Saudi Pro League (Arabia Saudita)
Besiktas JK, Super Lig (Turchia)
River Plate, Primera Division (Argentina)
Aston Villa, Premier League (Inghilterra)
Roma, Serie A (Italia)
Sporting CP, Primeira Liga (Portogallo)
PSV, Eredivisie (Paesi Bassi)
Rangers FC, Premiership (Scozia)
Al Ahli SFC, Saudi Pro League (Arabia Saudita)
Real Betis Balompie, La Liga (Spagna)
SL Benfica, Primeira Liga (Portogallo)
RCD Mallorca, La Liga (Spagna)
Olympique Lyonnais, Ligue 1 (Francia)
Al Nassr, Saudi Pro League (Arabia Saudita)
Brighton and Hove Albion, Premier League (Inghilterra)
Feyenoord, Eredivisie (Paesi Bassi)
Celtic, Premiership (Scozia)
Nottingham Forest, Premier League (Inghilterra)
Villarreal CF, La Liga (Spagna)
Lazio, Serie A (Italia)
West Ham United, Premier League (Inghilterra)
Getafe CF, La Liga (Spagna)
Olympique de Marseille, Ligue 1 (Francia)
Al Ettifaq, Saudi Pro League (Arabia Saudita)
RC Celta, La Liga (Spagna)
Sporting Clube de Braga, Primeira Liga (Portogallo)
Bologna, Serie A (Italia)
Real Sociedad, La Liga (Spagna)
Atalanta, Serie A (Italia)
VfL Wolfsburg, Bundesliga (Germania)
SK Slavia Praha, Fortuna Liga (Repubblica Ceca)
FC Union Berlin, Bundesliga (Germania)
Fiorentina, Serie A (Italia)
Sheffield United, Championship (Inghilterra)
FCSB, Liga I (Romania)
Al Shabab, Saudi Pro League (Arabia Saudita)
Difensore Leipzig, Bundesliga (Germania)
Genoa, Serie A (Italia)
Torino, Serie A (Italia)
Sunderland, Championship (Inghilterra)
Boca Juniors, Primera Division (Argentina)
SV Werder Bremen, Bundesliga (Germania)
OGC Nice, Ligue 1 (Francia)
Stade de Reims, Ligue 1 (Francia)
Al Ittihad, Saudi Pro League (Arabia Saudita)
Burnley, Premier League (Inghilterra)
FSV Mainz 05, Bundesliga (Germania)
Valencia CF, La Liga (Spagna)
AEK Athens, Super League (Grecia)
Brentford, Premier League (Inghilterra)
Crystal Palace, Premier League (Inghilterra)
PAOK, Super League (Grecia)
Viking FK, Eliteserien (Norvegia)
Ajax, Eredivisie (Paesi Bassi)
Botafogo, Serie A (Brasile)
Cagliari, Serie A (Italia)
AFC Bournemouth, Premier League (Inghilterra)
Internacional, Serie A (Brasile)
Olympiacos FC, Super League (Grecia)
AS Monaco, Ligue 1 (Francia)
Estudiantes de La Plata, Primera Division (Argentina)
Girona FC, La Liga (Spagna)
Lille OSC, Ligue 1 (Francia)
Trabzonspor, Super Lig (Turchia)
FC Cincinnati, MLS (Stati Uniti)
FC Augsburg, Bundesliga (Germania)
Como, Serie A (Italia)
Atletico Nacional, Primera A (Colombia)
UD Almeria, Segunda Division (Spagna)
VfB Stuttgart, Bundesliga (Germania)
Beijing Guoan, Super League (Cina)
Velez Sarsfield, Primera Division (Argentina)
KRC Genk, Pro League (Belgio)
Pisa, Serie B (Italia)
Everton, Premier League (Inghilterra)
Fluminense, Serie A (Brasile)
Eintracht Frankfurt, Bundesliga (Germania)
Stade Rennais FC, Ligue 1 (Francia)
FC Koln, 2. Bundesliga (Germania)
Monza, Serie A (Italia)
Colo-Colo, Primera Division (Cile)
Vitoria, Serie A (Brasile)
Rayo Vallecano, La Liga (Spagna)
VfL Bochum 1848, Bundesliga (Germania)
Racing Club, Primera Division (Argentina)
Real Oviedo, Segunda Division (Spagna)
Sevilla FC, La Liga (Spagna)
Panathinaikos FC, Super League (Grecia)
Leeds United, Premier League (Inghilterra)
Sampdoria, Serie B (Italia)
Al Riyadh, Saudi Pro League (Arabia Saudita)
RC Lens, Ligue 1 (Francia)
Borussia Monchengladbach, Bundesliga (Germania)
Palmeiras, Serie A (Brasile)
Atletico Mineiro, Serie A (Brasile)
NEOM SC, Saudi Pro League (Arabia Saudita)
FK Bodo/Glimt, Eliteserien (Norvegia)
Gaziantep FK, Super Lig (Turchia)
Rosario Central, Primera Division (Argentina)
Al Fateh, Saudi Pro League (Arabia Saudita)
Al Taawoun FC, Saudi Pro League (Arabia Saudita)
Club Brugge KV, Pro League (Belgio)
Montpellier HSC, Ligue 1 (Francia)
Vasco da Gama, Serie A (Brasile)
Corinthians, Serie A (Brasile)
Samsunspor, Super Lig (Turchia)
Newell's Old Boys, Primera Division (Argentina)
Famalicao, Primeira Liga (Portogallo)
FC Porto, Primeira Liga (Portogallo)
FC Zurich, Super League (Svizzera)
Karlsruher SC, 2. Bundesliga (Germania)
TSG 1899 Hoffenheim, Bundesliga (Germania)
Seattle Sounders FC, MLS (Stati Uniti)
Paris FC, Ligue 2 (Francia)
Fulham FC, Premier League (Inghilterra)
Sassuolo, Serie B (Italia)
Oud-Heverlee Leuven, Pro League (Belgio)
Konyaspor, Super Lig (Turchia)
Parma, Serie A (Italia)
Wolverhampton Wanderers, Premier League (Inghilterra)
Middlesbrough, Championship (Inghilterra)
Vancouver Whitecaps FC, MLS (Canada)
Hellas Verona FC, Serie A (Italia)
LA Galaxy, MLS (Stati Uniti)
Lanus, Primera Division (Argentina)
Hajduk Split, HNL (Croazia)
St. Louis CITY SC, MLS (Stati Uniti)
Coventry City, Championship (Inghilterra)
Adelaide United, A-League (Australia)
Sparta Praha, Fortuna Liga (Repubblica Ceca)
Los Angeles FC, MLS (Stati Uniti)
RCD Espanyol, La Liga (Spagna)
Caykur Rizespor, Super Lig (Turchia)
FC Basel 1893, Super League (Svizzera)
FC Seoul, K League 1 (Corea del Sud)
FC Utrecht, Eredivisie (Paesi Bassi)
Palermo FC, Serie B (Italia)
Holstein Kiel, Bundesliga (Germania)
Granada CF, Segunda Division (Spagna)
FC Heidenheim 1846, Bundesliga (Germania)
Ipswich Town, Premier League (Inghilterra)
RC Strasbourg Alsace, Ligue 1 (Francia)
Malmo FF, Allsvenskan (Svezia)
RSC Anderlecht, Pro League (Belgio)
Al Ain, UAE Pro League (Emirati Arabi Uniti)
FC St. Pauli, Bundesliga (Germania)
Platense, Primera Division (Argentina)
Stade Brestois 29, Ligue 1 (Francia)
Nashville SC, MLS (Stati Uniti)
Defensa y Justicia, Primera Division (Argentina)
Sparta Rotterdam, Eredivisie (Paesi Bassi)
Hamburger SV, 2. Bundesliga (Germania)
Real Salt Lake, MLS (Stati Uniti)
Udinese, Serie A (Italia)
Medipol Basaksehir FK, Super Lig (Turchia)
SC Freiburg, Bundesliga (Germania)
Levante UD, Segunda Division (Spagna)
Club Olimpia, Primera Division (Paraguay)
Independiente, Primera Division (Argentina)
FC Kobenhavn, Superligaen (Danimarca)
Gimnasia y Esgrima La Plata, Primera Division (Argentina)
Gremio, Serie A (Brasile)
